ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
240009;-36,385350;-5,567300;0,169510;1,262540;0,894700;0,892180;0,756350;2,690340;-0,672840;0,271205;1,276443;2,861120;0,651322;0,385202;1,332337;-1,472212
240010;-36,592070;-6,007650;0,031060;1,016790;1,677400;0,797860;-0,225650;1,343750;-0,118590;0,319790;1,469604;3,004160;0,637980;0,250446;-1,146660;-2,038488
240011;-37,173460;-6,488150;0,297200;1,485840;3,245200;0,608940;0,744130;-3,066020;-3,776400;0,497344;2,189044;0,790780;0,589479;-0,444036;-2,768097;-1,739747
240012;-36,630190;-6,536180;0,483820;1,418910;0,937200;0,887060;-0,769600;-3,579820;-4,090710;-0,004490;0,820902;1,259500;0,809138;-0,237602;-1,684344;-0,437268
240013;-35,953820;-5,471760;0,072300;0,844120;2,292600;0,723730;1,632450;5,467700;-1,698660;0,379060;1,281148;3,424440;0,708595;0,411588;1,685218;-1,401195
240014;-35,967760;-6,146490;-0,468810;0,085550;2,378500;0,713370;-0,273630;-0,576440;0,899170;0,292434;1,268559;1,529580;0,845747;-0,182593;1,242699;-0,828659
240015;-35,616990;-6,120200;0,411380;1,143550;3,055100;0,631840;-0,973160;0,106950;-2,123260;0,244178;0,988482;9,145700;0,057476;-0,007348;1,134144;-0,855504
240016;-35,602970;-5,387920;0,471280;1,245030;5,331000;0,357580;0,506940;1,090160;0,431590;0,329720;1,031448;4,269480;0,582278;0,594235;2,117045;-2,105680
240017;-35,338860;-5,830820;0,371130;0,664650;8,126100;0,020760;0,361430;0,040110;-1,360530;0,464240;1,279370;8,927740;-0,275742;0,652925;0,197593;-0,956483
240018;-35,241240;-5,797270;0,708290;1,994030;6,978900;0,159000;4,193580;-1,465390;0,420390;0,371130;0,664650;9,157180;0,020760;0,361430;0,040110;-1,360530
240019;-35,160540;-6,345830;0,266010;0,734870;26,981100;-2,251390;-1,115660;1,058650;-2,554650;0,380263;0,902013;8,256920;-0,176503;-0,831053;-0,960873;-1,900377
250001;-37,593860;-6,348870;0,184930;3,892170;1,741200;0,790180;-0,345620;-3,039180;-1,231620;0,542645;2,669832;3,394960;0,507132;0,510867;-1,956147;-1,876420
